券種,買い目,購入数,的中率,回収率,収支
3連単,2-4-3,20,10.0,987.0,17740
3連単,3-1-6,39,5.13,493.08,15330
3連単,3-2-5,47,8.51,388.51,13560
3連単,3-2-4,36,8.33,225.28,4510
3連単,4-1-5,21,4.76,179.52,1670
3連単,1-5-6,30,6.67,158.67,1760
2連単,3-1,200,12.5,144.35,8870
3連単,2-4-5,35,5.71,144.0,1540
3連単,3-1-5,36,8.33,141.67,1500
3連単,1-4-5,152,5.26,138.29,5820
3連単,2-1-4,97,3.09,124.64,2390
3連単,4-1-3,24,4.17,124.58,590
2連単,2-4,114,10.53,124.47,2790
3連単,2-1-5,57,7.02,109.47,540
3連単,1-3-6,624,6.09,100.06,40
2連単,4-3,28,7.14,99.64,-10
3連単,1-4-2,58,5.17,98.97,-60
2連単,1-5,222,12.16,97.7,-510
2連単,3-2,149,9.4,96.58,-510
3連単,4-2-5,36,5.56,95.83,-150
2連単,2-1,427,13.35,94.07,-2530
単勝,2,3117,36.89,92.73,-22650
3連単,2-4-6,27,3.7,92.59,-200
3連単,1-3-5,1111,5.94,92.41,-8430
単勝,1,50832,56.98,91.47,-433660
単勝,4,366,32.24,89.26,-3930
2連単,1-6,77,9.09,86.88,-1010
3連単,1-3-2,1116,8.06,86.77,-14760
3連単,3-1-4,74,4.05,82.03,-1330
2連単,1-3,11048,20.06,81.74,-201770
3連単,1-2-3,15146,8.61,81.24,-284160
2連単,1-2,36715,20.73,80.64,-710640
2連単,4-1,104,8.65,80.29,-2050
3連単,1-2-6,825,3.52,78.87,-17430
2連単,1-4,953,16.26,75.99,-22880
単勝,3,807,32.59,75.32,-19920
2連単,2-3,253,9.88,73.36,-6740
3連単,1-3-4,5238,6.64,73.28,-139960
3連単,1-2-5,2227,4.58,68.45,-70270
3連単,1-4-3,93,3.23,67.31,-3040
3連単,1-2-4,16224,5.98,66.99,-535500
2連単,3-4,36,8.33,59.72,-1450
2連単,4-2,141,4.96,58.79,-5810
3連単,2-1-6,83,2.41,50.24,-4130
3連単,2-3-5,82,2.44,50.24,-4080
3連単,2-3-4,46,4.35,48.04,-2390
3連単,1-5-3,32,3.12,46.88,-1700
単勝,5,38,13.16,36.32,-2420
3連単,2-1-3,172,2.91,35.87,-11030
3連単,1-4-6,81,2.47,35.68,-5210
3連単,2-3-6,35,2.86,23.43,-2680
3連単,1-5-4,45,0.0,0.0,-4500
3連単,1-5-2,29,0.0,0.0,-2900
3連単,3-1-2,22,0.0,0.0,-2200
3連単,4-2-3,36,0.0,0.0,-3600
2連単,2-5,51,0.0,0.0,-5100
